@relation comments-weka.filters.unsupervised.instance.RemovePercentage-P50.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-L3-H

@attribute comment string
@attribute classification {TEST,IMPLEMENTATION,DESIGN,DEFECT,DOCUMENTATION}

@data
' what to do here we could start a new server ',DESIGN
' TODO Is this needed ',DESIGN
' hack to skip processing',DESIGN
' TODO allow user to request the system or no parent',IMPLEMENTATION
' TODO Removed from UML NON NLS ',DEFECT
' TODO Rather than specifically ignore some item maybe it would be better to specifically state what items are of interest Otherwise we may still be acting on other events we do not need',DESIGN
' TODO This is an freopen in MRI this is close but not quite the same',DEFECT
' TODO charset TODO this should really be request data but there is none',DESIGN
' TODO Redo it curBody should be as long as curLanguage button ',DESIGN
' FIXME this really ought to be in clinit but it does not matter much',DESIGN
' This is a bit hard coded but if we use scale here some number displays go crazy numberFormat setMaximumFractionDigits scale ',DESIGN
' This triggers some warnings in logs because some elements are created without an owner and eResource is null TODO fix this The warning log if we would not add the EObject to a resource would looks like this WARN AWT EventQueue Encountered deleted object during delete of ',DEFECT
' TODO this is very suboptimal for some subclasses namely components since it does not take advantage of two phase load',DESIGN
' I do not know if this should be run this deferred because we might have to give the editor a chance to process the viewer update events and hence to update the views first ',IMPLEMENTATION
' Returns all substates some composite state contains p TODO link getAllPossibleSubvertices Object and link getAllSubStates Object are duplicates as implemented for MDR It is not clear from the Javadoc or usage whether they should do different things or this just happened because no one noticed we already had another method param compState the given compositestate return all substates ',DOCUMENTATION
' This is not good need a way to update eval without re installing so that we can re eval params etc when classloader changes look into this',DEFECT
' TODO subclass these hibernate dialects to provide the canPasteTo api method in HibernateDialect interface private static final DB Dialect db Dialect new DB Dialect ',DESIGN
' TODO should this be deprecated to be efficient internals should deal with RubyHash directly ',DESIGN
' work around the feature where tree cache is validating the inserted node during the next transaction no idea ',DESIGN
' Create an empty but initialized instance of a UML Parameter return an initialized UML Parameter instance TODO This needs an extra parameter to specify the model extent where the new element should be created ',DESIGN
' Bubble sort Why In many cases this ranges has few elements ',DESIGN
' TODO make static ',DESIGN
' FIRST MONDAY AFTER JavaClassSATD getTime preceding code will not work with JDK ',DEFECT
' Add a path to the list of paths to be searched when looking for XMI files to resolve external references with The list is maintained in a static structure shared by all instances p TODO It is desirable to have separate search paths for separate files but more work is required in ArgoUML so that it knows how to maintain separate contexts for the profiles and user models param path a directory path to add to the search path ',DESIGN
' is this right ',DESIGN
' TODO Why is not this done in save ',DESIGN
' SSS FIXME These should get normally compiled or initialized some other way SSS FIXME Parent super type info is incorrect These are just placeholders for now this needs to be updated with real class objects later ',DESIGN
' TODO Need to add FileChooser ',IMPLEMENTATION
' TODO NOT ALLOCATABLE ALLOCATOR may be ok here but it is unclear how Structs work with marshalling Confirm behavior and ensure we are doing this correctly JRUBY ',DESIGN
' Really ought to have a CriticException to throw here ',DEFECT
' TODO deprecate since no longer used by getEditPluginClass getEditorPluginClass getTestSuiteClass ',DESIGN
' TODO is sync really needed ',DESIGN
' FIXME after jump is not in here Will if ever be Label afterJmp new Label ',IMPLEMENTATION
' TODO not so sure this is needed ',DESIGN
' FIXME formatters are not thread safe',DEFECT
' This class models the designer who is building a complex design in some application domain and needs continuous feedback to aid in the making of good design decisions p strong This area needs work especially as it is a central idea of Argo strong p Currently almost everything is hardcoded What can be configurable p The ToDoList is dependent on this class i e each designer has its ToDoList p Each designer has his own Agency which is the only class that knows all the critics p This class listens to property changes from p A designer can create ToDo Items just like the critics Hence the designer implements the Poster interface p TODO There is a strong dependency cycle between Agency and Designer They either need to be merged into a single class or partitioned differently perhaps using an interface to break the cycle The Designer singleton gets passed to almost every single part of the Critic subsystem creating strong coupling throughout tfm author Jason Robbins ',DESIGN
' FIXME use other fields too',DESIGN
' TODO put this stuff back in to read snapshot from the second level cache needs some extra work ',DESIGN
' TODO draw the interval marker with a D effect',IMPLEMENTATION
' FIXME Pass block down ',IMPLEMENTATION
' simplified these settings a little ',DESIGN
' TODO figure out a more reliable way to handle OTHER type which indicates a database specific type ',DESIGN
' TODO Here we should e g show the user a message that the loaded project was using a Notation that is not currently available and a fall back on the default Notation was done Maybe this can be implemented in the PersistenceManager ',DESIGN
' We also show tagged values for UML TODO what to do for UML here ',IMPLEMENTATION
' TODO implement validation',IMPLEMENTATION
' TODO If ActionCopy is no longer a singleton how shall this work ',DEFECT
' Create a TaggedValue with a tag type matching our source module filename and a value of the file is last modified timestamp TODO This functionality needs to be moved someplace useful if it is needed otherwise it can be deleted tfm ',DESIGN
' shortcut',DESIGN
' TODO if this class listen the model it will be able to change in live as it is done in the figs diagram ',DESIGN
' This is turned off temporarily There appears to be a bug in JavaClassSATD where it is recursive on Windows even if no is in pattern assertEquals FFFTFFFFFFFF results Unix vs assertEquals FFFTFFFFTFFF results Windows',DEFECT
' TODO Should throw if the string is not good ',DESIGN
' TODO should this implement supportsCustomEditor ',DESIGN
' TODO Lots more types Duration Instance Interval',DESIGN
' TODO field always true what for ',DESIGN
' TODO cache ',DESIGN
' this may be negative',DESIGN
' TODO Delete old multiplicity Why is copy using hard coded value tfm',DESIGN
' TODO should we allow suffixes on these ',DESIGN
' Create an empty but initialized instance of a UML Comment return an initialized UML Comment instance TODO This needs an extra parameter to specify the model extent where the new element should be created ',DESIGN
' TODO not implemented',IMPLEMENTATION
' not implemented',IMPLEMENTATION
' TODO In JFreeChart put this method in the CategoryItemRenderer interface',DESIGN
' moved to GUIUtilities as it makes no sense being here ',DESIGN
' TODO downcase UPPER case non final variables',DESIGN
' TODO why do we need to remove then add the Fig ',IMPLEMENTATION
' An output stream that compresses into the BZip format without the file header chars into another stream p The compression requires large amounts of memory Thus you should call the link close close method as soon as possible to force tt CBZip OutputStream tt to release the allocated memory p p You can shrink the amount of allocated memory and maybe raise the compression speed by choosing a lower blocksize which in turn may cause a lower compression ratio You can avoid unnecessary memory allocation by avoiding using a blocksize which is bigger than the size of the input p p You can compute the memory usage for compressing by the following formula p pre code k blocksize code pre p To get the memory required for decompression by link CBZip InputStream CBZip InputStream use p pre code k blocksize code pre table width border colgroup col width col width col width colgroup tr th colspan Memory usage by blocksize th tr tr th align right Blocksize th th align right Compression br memory usage th th align right Decompression br memory usage th tr tr td align right k td td align right k td td align right k td tr tr td align right k td td align right k td td align right k td tr tr td align right k td td align right k td td align right k td tr tr td align right k td td align right k td td align right k td tr tr td align right k td td align right k td td align right k td tr tr td align right k td td align right k td td align right k td tr tr td align right k td td align right k td td align right k td tr tr td align right k td td align right k td td align right k td tr tr td align right k td td align right k td td align right k td tr table p For decompression tt CBZip InputStream tt allocates less memory if the bzipped input is smaller than one block p p Instances of this class are not threadsafe p p TODO Update to BZip p ',IMPLEMENTATION
' TODO better detection when path is absolute or not If the path is not absolute then prepend the current working directory to the path ',IMPLEMENTATION
' The next line does not work ',DEFECT
' TODO could change this to itemFillPaint For backwards compatibility it might require a useFillPaint flag ',DESIGN
' FIXME I do not like this',DESIGN
' FIXME this attribute is not used deprecate ',DESIGN
' No explicit select expression render the id and properties projection lists for every persister in the from clause into a single token node TODO the only reason we need this stuff now is collection filters we should get rid of derived select clause completely ',DESIGN
' TODO Implement',IMPLEMENTATION
' TODO figure out why bind variables are not working',DESIGN
' does not work Depending on the compression engine used compressed bytes may differ False errors would be reported assertTrue File content mismatch FILE UTILS contentEquals project resolveFile expected asf logo huge tar bz project resolveFile asf logo huge tar bz ',TEST
' This should be per instance',DESIGN
' TODO yet another ambiguous name does it need changing See also Clearable JMeterGUIComponent',DESIGN
' TODO link to the Signal ',DOCUMENTATION
' Reply a Set of design material is that are the subject of this ToDoItem return the offenders TODO Offenders need to be more strongly typed tfm ',DESIGN
' GEF Methods TODO These should really be picked up automatically from some GEF interface that we extend but there is no such thing NOTE We have only added methods used by ArgoUML so it is possible that external consumers need other methods ',DESIGN
' should become a single empty argument same for PR ',DESIGN
' TODO do tests for ranges in collection definition even though it is not yet supported',TEST
' I am too tired to think of a better way to handle this right now ',DESIGN
' This node cannot be dragged and manipulated in the same way as other FigNodes in ArgoUML It is actually an optional child fig or more precisely a path item of a FigEdgeModelElement This allows the dashed edge of an association class to connect the association edge and allows the dashed edge of a comment edge to attach a comment to some other edge type GEF can only attach edges to nodes by making this fig both a node and containing it as a child of an edge we push the rules to allow edge to edge connections TODO We are inheriting a lot of functionality here that we do not really require We should attempt to make FigEdgePort extend FigNode author Bob Tarling ',DESIGN
' Hack to deal with Axion AXION tables ',DESIGN
' add an entry for this type of entity we can be assured that all referenced entities have already been processed so specify that this entity is with the latest batch doing the batch number before adding the name to the list is a faster way to get an accurate number ',IMPLEMENTATION
' TODO should orphans really be deleted during lock ',DESIGN
' If it is a jar clean it up and make it look like a file url',IMPLEMENTATION
' TODO In MRI an explicit check for negative length is added here IndexError is raised when length is negative See ruby core for more details New note This is actually under re evaluation see ruby core ',DEFECT
' end of workaround',DESIGN
' TODO nd next for single hasNext ',IMPLEMENTATION
' TODO use the destination database type to derive a format that is acceptable ',IMPLEMENTATION
' TODO Formalize conversion mechanisms between Java and Ruby',IMPLEMENTATION
' todo need map the prob is a proper key right ',DESIGN
' FIXME author fdietz Do we need this implementation in a TempFolder If not just put an empty method here just like in VirtualFolder ',DESIGN
' Motif kludge we would get something random instead of null ',DESIGN
' Notes This is broken It finds public but less specific methods over non public but more specific ones findMostSpecficMethod needs to be rewritten to eliminate findAccessibleMethod We should implement the findMostSpecificMethod that uses the publicOnly flag FindMostSpecificMethod should also operate in two passes to give standard Java assignable matches priority over extended bsh type matches ',DESIGN
' FIXME do not use RubyIO for this',IMPLEMENTATION
' TODO Review all callers to make sure that they localize the title In process by Harold Braun ',IMPLEMENTATION
' Creates a new OCL critic param oclConstraint ocl expression param headline headline param description description param moreInfoURL the info url param knowledgeTypes the knowledge types param supportedDecisions the decisions param priority the priority throws InvalidOclException if the ocl is not valid TODO Do these need to be Lists or can they be simple Collections ',DESIGN
' A model element has been removed from this packages namespace If the Fig representing that model element is on the same diagram as this package then make sure it is not enclosed by this package TODO In my view the Fig representing the model element should be removed from the diagram Yet to be agreed Bob ',DESIGN
' TestCases for link XSLTProcess task XXX merge with link XsltTest version ',TEST
' FIXME better ask the renderer instead of DatasetUtilities',DESIGN
' TODO turn into method ',DESIGN
' turn hibernate c p into c p so c p gets a chance to see all hibernate c p ',DESIGN
' TODO does not putting this here mark the tree as saved even though a failure may occur later ',DEFECT
' Should we add the separator ',DESIGN
' hack workaround as sqlquery impl depend on having a key ',DESIGN
' Return the default type for an attribute return a Classifier to use as the default type TODO This belongs in ProjectSettings tfm ',DESIGN
' author tstich Its better to call the Shutdownmanager since the above is called automatically from it ShutdownManager is modified to allow one shutdown call only so we never should have multi shutdown problems again ',DESIGN
' Find all the Figs that visualise the given model element in this layer or null if there is none TODO once GEF includes this same method in Diagram then this can go see org tigris gef base Diagram presentationsFor java lang Object ',DESIGN
' kids do not do this at home',DESIGN
' TODO some more invalid sequence tests needed',TEST
' TODO The code implementing this method is from see issue mechanically integrated by tfmorris in May Needs to be reviewed updated author Decki Endi Yayan Politechnic of Bandung Computer Departement method for changing text of Message param newOwner param parameter ',DEFECT
' SSS FIXME Should I have a reference to the IR loop that is being retried ',DESIGN
' this class has no proxies so do a shortcut ',DESIGN
' Creates a UML model element of the given type This only works for UML elements If a diagram contains elements of another type then it is the responsibility of the diagram manage those items and not call this method It also only works for UML model elements that are represented in diagrams by a node param elementType the type of model element to build return the model element TODO This needs an extra parameter to specify the model extent where the new element should be created ',DESIGN
' This does a calculation of where our ext directory is TODO We should eventually make sure that this calculation is only present in one place in the code and not several ',DESIGN
' TODO Tentative implementation Do we want something that updates the list of open projects or just simple open and close events tfm',IMPLEMENTATION
' TODO investigate the unnamed opposite end ',IMPLEMENTATION
' Note object is only used here for precondition get rid of it ',DESIGN
' NON NLS TODO change to use URL version Will this affect test plans ',DESIGN
' TODO suck this into initLaziness ',DESIGN
' SSS FIXME Incomplete ',IMPLEMENTATION
' TODO This should be using internalGetAllRealizedInterfaces ',DEFECT
' at some point the generate phase needs to be moved out of here because a single object level DML might spawn multiple SQL DML command executions Possible to just move the sql generation for dml stuff but for consistency sake probably best to just move responsiblity for the generation phase completely into the delegates QueryLoader StatementExecutor themselves Also not sure why QueryLoader currently even has a dependency on this at all does it need it Ideally like to see the walker itself given to the delegates directly ',DESIGN
' TODO Make this work when the given stereotype has more than one baseclass TODO Currently only works for stereotypes where the baseclass is equal to the given one inheritance does not work ',DESIGN
' TODO should also make sure that each of the columns is made NOT NULL ',IMPLEMENTATION
' Note This class essentially just delegates most of its methods to its parent The setVariable indirection is very small We could probably fold this functionality back into the base NameSpace as a special case But this has changed a few times so I d like to leave this abstraction for now ',DESIGN
' TODO merge into one method ',DESIGN
' TODO should check that error has been logged ',IMPLEMENTATION
' TODO Convert all to use standard factory registration',DESIGN
' TODO This does not belong here use getImportedElement ',DESIGN
' TODO specifying soft refs may want to compare memory consumption behavior with weak refs specify WEAK in place of SOFT below ',DESIGN
' TODO not sure this is the best method',DESIGN
' TODO author karlpeder Implementation of undo redo missing',IMPLEMENTATION
' Recognizer for N ary Association TODO This is not a recognizer for some type Rename to isNaryAssociation param handle candidate return true if handle is an Association ',DESIGN
' TODO Put in all the property accessors',DESIGN
' TODO if JavaClassSATD equals ts ',IMPLEMENTATION
' These may not actually make any difference at present the code behind addTrigger needs more work ',DESIGN
' brand new collection TODO or an array we ca not lock objects with arrays now ',DESIGN
' exit monitor before making call FIXME this not being in a finally is a little worrisome',DESIGN
' TODO better to pass the id in as an argument ',DESIGN
' TODO must override in RubyModule to pick up constants',IMPLEMENTATION
' TODO Determine whether we should perhaps store non singleton class in the implementationClass',DESIGN
' TODO Maybe prompt the user to ask to append the records ignoring errors for constraint violations ',IMPLEMENTATION
' This refactoring depends on the following API methods getCreateTableSQL',DESIGN
' this is kind of the best we can do ',DESIGN
' TODO This is well formedness rule from UML No GeneralizableElement can have a parent Generalization to an element that is a leaf self parent forAll s not s isLeaf ',DESIGN
' Utility function to localize the given string with help text and show it in the status bar of the ArgoUML window This function is used in favour of the inline call to enable later improvements e g it would be possible to show a help balloon p TODO Work this out One matter to possibly improve show multiple lines param s the given string to be localized and shown ',DEFECT
' Create an empty but initialized instance of a UML AssociationClass return an initialized UML AssociationClass instance TODO This needs an extra parameter to specify the model extent where the new element should be created ',DESIGN
' TODO This is probably not the right location for switching off the filterNewlines The setting gets lost after selecting a different ModelElement in the diagram BTW see how it is used in javax swing text PlainDocument See issue ',DESIGN
' TODO see if we need to apply some line color and style to the axis traces',IMPLEMENTATION
' TODO this returns a Collection not a single Object Is this what the callers expect ',DESIGN
' If we are connecting to a database then this is fine However when using MockObjects this is problematic since there are many unimplemented methods in the MockObjects implementation that are required by this ',DEFECT
' colDefs not in same order as DB so search for matching colDef entry Note linear search here will NORMALLY be not too bad because most tables do not have huge numbers of columns ',DESIGN
' orphans should not be deleted during copy ',DESIGN
' SSS FIXME Should I be returning the operand constructed here ',IMPLEMENTATION
' temporary hack to handle non Ruby values will come up with better solution shortly',DESIGN
' XXX All this to get package according to weblogic standards Can be written better this is too hacky Careful similar code in scanDir but slightly different ',DESIGN
' TODO This method can be replaced by getClass getSimpleName when Argo drops support for Java versions ',DESIGN
' NON NLS so it agrees with above TODO perhaps should share code with time function for this NON NLS NON NLS NON NLS NON NLS ',DESIGN
' TODO This is not an exact port of MRI is pipe behavior so revisit',DESIGN
' if there are multiple variables in declaration separate this variable fragment into a separate declaration',DESIGN
' TODO should fire its own event and ProjectBrowser TODO should register a listener',DESIGN
' TODO finish unmarshalling of all available properties',IMPLEMENTATION
' add new with full signature so it is guaranteed to be directly accessible TODO no need for this to be a full formal JVM signature',DESIGN
' This is the namespace in which the method is set It is a back reference for the node which needs to execute under this namespace It is not necessary to declare this transient because we can only be saved as part of our namespace anyway currently ',DESIGN
' TODO for now we use a faithful reimplementation of MRI is algorithm but should use UTF Encoding facilities from Joni once it starts prefroming UTF content validation ',DESIGN
' TODO refactor make this method private',DESIGN
' short circuit for performance ',DESIGN
' TODO assertion only could be optimized away',IMPLEMENTATION
' Because of the old factoring approach in the create method it might be the case that the state of the old value has changed by the time we get here and in that case we do not want to duplicate the removals in this code ',DESIGN
' ick ',DESIGN
' Note It would be nice to pre calculate this per series',DESIGN
' TODO complete this implementation tfm',DESIGN
' TODO add serialization support for images',IMPLEMENTATION
' JavaClassSATD Sublist is supposed to share same backing store as list TODO in RubyArray assertTrue JavaClassSATD ',IMPLEMENTATION
' TODO Need to define a better approach to getting dialects That is we do not really want to ever prompt the user in this case It is always Oracle Yet we may have a new OracleDialect at some point ',DESIGN
' TODO set different status if not enough messages found ',DESIGN
' TODO This should not require two passes through the list tfm',IMPLEMENTATION
' dialogs fuck things up if a menu is visible etc new BeanShellErrorDialog view e ',DEFECT
' Entered in Prove that the test below is not needed',TEST
' TODO Spring inject when this class is a Spring bean ',DESIGN
' For the Mac ScreenBarMenus to work this must be declared before ANY AWT Swing gets initialised Do NOT move it to plugin init location because that is too late ',DESIGN
' TODO Only occurrence of isConcurrent in UML is in index it is not on the page that is indexed',DEFECT
' TODO We need to be more specific here about what to build',IMPLEMENTATION
' fallback in case we have trouble loading the class or do not know how to handle it there is no easy way to know what IDL mode would generate This is supposed to make Ant always recompile the class as a file of that name should not exist ',DESIGN
' TODO call config with scope but no frame',IMPLEMENTATION
' TODO sort the list ',IMPLEMENTATION
' TODO Exact ordering is only required for some tests change the comparison to do a set compare where necessary ',DESIGN
' JMeterTreeNode and TestBeanGUI are special GUI classes and are not intended to be added to menus TODO find a better way of checking this ',DESIGN
' TODO Lets build this into a separate buildToolbar method',DESIGN
' todo is there really any reason to kkeep trying if this fails once ',DESIGN
' EATM This might be better written as a single loop for the EObject case ',DESIGN
' TODO Not yet working for UML ',DEFECT
' this should be moved to a ui action ',DESIGN
' TODO still not used because in ArgoUML String is hardwired ',DESIGN
' Could this be some other type of internal error that we want to handle differently Do not think so tfm',DESIGN
' here is a quirk the API has been defined in terms of a plain TimePeriod which cannot make use of the timezone and locale specified in the constructor so we only do the time zone pegging if the period is an instanceof RegularTimePeriod',DESIGN
' TODO reuse the PreLoadEvent',DESIGN
' Does not appear to be used yet ',DESIGN
' Does this dialect support the UNIQUE column syntax ',DESIGN
' houston we have a problem ',DESIGN
' TODO Are the methods uses ',DESIGN
' TODO Needs undo support',IMPLEMENTATION
' todo not serialized yet',DEFECT
' TODO What if used elsewhere ',DESIGN
' TODO MVW Why is this not done in GEF ',DESIGN
' TODO implement this',IMPLEMENTATION
' check first that it is not already loaded otherwise consecutive runs seems to end into an OutOfMemoryError or it fails when there is a native library to load several times this is far from being perfect but should work in most cases ',DEFECT
' TODO The project should be bound to the action when it is created ',IMPLEMENTATION
' Prevent italic events if italic does not change TODO GEF should manage this after GEF is included ',DESIGN
' List Transition result new ArrayList Transition TODO not complete how to retrieve the transitions ',IMPLEMENTATION
' Experimental Testing will be removed',DESIGN
' TODO finish i n ',IMPLEMENTATION
' Set the fig style according to attributes p TODO This is never used Can we remove param fig the fig to style param attributeMap a map of name value pairs ',DESIGN
' TODO better to degrade to lazy false if uninstrumented',DESIGN
' NOTE Source and line arguments are nonsense in a call Any way to make these arguments sensible ',DESIGN
' A datastructure for settings for a Project p Most getters return a string since they are used by argo tee This is also the reason all these attributes are not part of a Map or something p TODO The header comment is currently not used this function is not completely implemented yet How do we store this in the project Where should the user enter his header comment See issue author michiel ',DESIGN
' TODO NOT ALLOCATABLE ALLOCATOR is probably ok here Confirm JRUBY ',DESIGN
' Must be done here because of side effect yuck ',DESIGN
' TODO Is this required Why would the fig already be dashed see org tigris gef presentation FigEdge setFig org tigris gef presentation Fig ',DESIGN
' TODO should we just collect these like with the collections above ',DESIGN
' implement the recursion for getClassImpl ',IMPLEMENTATION
' TODO Add empty placeholder here ',IMPLEMENTATION
' TODO This should be something else like a tCHAR',IMPLEMENTATION
' Split the methods into constructors and regular method lists',DESIGN
' we assume that all other Paint instances implement equals and hashCode of course that might not be true but what can we do about it ',DESIGN
' TODO needed here because currently done on sample completion in JMeterThread but that only catches top level samples ',DESIGN
' TODO Hook this creating of a new resource in to someplace more more appropriate perhaps createModel Better yet add a new method to Model API to create a new top level project model xmi file so we do not depend on side effects',DESIGN
' Hack done to fix bringing the window to the front At least on windows JavaClassSATD does not cut it Remove the isWindows check if it is broken under other OSes too ',DESIGN
' install invokedynamic bootstrapper TODO need to abstract this setup behind another compiler interface',DESIGN
' The following is a work around for the problem on Mac OS X where the Apple LAF delegates to the Swing Popup factory but then tries to set a alpha on the underlying Cocoa window which will always be null if you are using JGoodies L F see http www caimito net pebble html comment This has no effect on Linux Windows',DESIGN
' XXX could perhaps also call JavaClassSATD not sure if anyone cares',DESIGN
' TODO Bob says if the model element is not named we could generate a name e g a generalization becomes Class A Class B ',DESIGN
' TODO do tests for allInstances even though it is not yet supported',DEFECT
' Aggregates sample results for use by the Statistical remote batch mode Samples are aggregated by the key defined by getKey TODO merge error count into parent class ',DESIGN
' TODO use these in methods above',IMPLEMENTATION
' TODO do not calculate the same value times',IMPLEMENTATION
' TODO eliminate ',DESIGN
' meant to handle dynamic instantiation queries Copy from QueryLoader ',DESIGN
' hum should we cascade anyway throw an exception fine like it is ',DESIGN
' TODO Performance critical method',DESIGN
' TODO author fdietz ensure that we do not fetch individual headers to reduce client server roundtrips',DESIGN
' TODO Use getModelElementContainer for transition',DESIGN
' TODO consider inherited associations TODO self loops are double counted',DESIGN
' Temporary fix to allow default protocol to be changed',DESIGN
' TODO this disables laziness even in non pojo entity modes ',DEFECT
' The file persister for the UML model TODO This is empty What is its purpose tfm author Bob Tarling ',DESIGN
' stupidity',DESIGN
' TODO THIS IS A HACK A much better way of doing this would be not to start the critic in the first place ',DESIGN
' TODO support iterate declarator',DESIGN
' report error if something weird happens this is diagnostic ',DESIGN
' TODO This references the concrete factory We need a factories factory',DESIGN
' TODO this could be a huge collection find a more efficient way',DESIGN
' TODO this is a little inefficient do not need to do a whole deep replaceElements call',DESIGN
' FIXME needs to be rethought',DESIGN
' The constructor p TODO Is this constructor used What is the purpose with it param n the name to be localized param subs the go rules ',DESIGN
' TODO what about n arg ',DESIGN
' XXX if we keep the createClassManager in getClassManager then we can axe this ',DESIGN
' TODO When the attribute is not in the diagram for exemple select attribut by Explorer Then the refresh is not auto we had to click ',DEFECT
' compileCheckBox new JCheckBox nameButton compileCheckBox checkbox compile generated source TODO Implement the compile feature For now disable the checkbox compileCheckBox setEnabled false southPanel add compileCheckBox BorderLayout SOUTH ',IMPLEMENTATION
' todo add support for READ WRITE NONSTRICT READ WRITE ',IMPLEMENTATION
' TODO move this to components the only reason why it is in core is because it is used as a guinea pig by a couple of tests ',DESIGN
' TODO should this also clear isDynamic rawParameters permanentResults ',DESIGN
' TODO For JFreeChart this method should go in the ShapeUtilities class',DESIGN
' Get value from current scope or one of its captured scopes FIXME block variables are not getting primed to nil so we need to null check those until we prime them properly Also add assert back in param offset zero indexed value that represents where variable lives param depth how many captured scopes down this variable should be set return the value here ',DEFECT
' is this really necessary ',DESIGN
' TODO Bleeding runtime into parser Arity may be should be in parser to keep bleeding oneway ',DESIGN
' This can lead to code smell meh Do we care',DESIGN
' URGENT TODO sort out equals and hashCode at present equal instances can will have different hashcodes problem is when a proper hashcode is used tests stop working e g listener data disappears when switching views This presumably means that instances currently regarded as equal are not really equal see java lang Object hashCode ',DEFECT
' if we get here we found a matching method use it TODO choose narrowest method by continuing to search',DESIGN
' TODO Parameterise Call compiler as class dont want to fork again Use classic compiler can be parameterised ',DESIGN
' TODO Does anyone use command line If so localization is needed tfm',DEFECT
' TODO replace with proper Exception',DESIGN
' TODO this should not be hardcoded is the height of the spline is the default activation height',DESIGN
' Maybe do nothing at all ',DESIGN
' TODO Does CoreHelper getExtendingClassifiers Object element means all direct and indirect extending classifiers or only the direct extending classifiers ',DESIGN
' TODO make the magic numbers configurable',DESIGN
' Changed in UML Component with subsystem stereotype TODO We should deprecate this ',DESIGN
' TODO put these nil guards into tree bigger than I want to do right now ',IMPLEMENTATION
' TODO move resources to a resource file ',DESIGN
' TODO replace repeated substr above and below with more efficient method ',DESIGN
' TODO It would be better to defer this initialization until the panel actually needs to be displayed Perhaps optimistically always return true and figure out later if we have got something to display tfm ',IMPLEMENTATION
' Windows JDK workaround',DESIGN
' TODO I n',IMPLEMENTATION
' TODO Do we really want stereotypes from nested packages ',DESIGN
' Process streams get JavaClassSATDed into FileChannel but are not actually seekable So instead of just the isSeekable check doing instanceof FileChannel we must also add this boolean to check which we set to false when it is known that the incoming channel is from a process FIXME This is gross and it is NIO is fault for not providing a nice way to tell if a channel is really seekable ',DESIGN
' TODO Does this still need to be synchronized If so then explain why ',DOCUMENTATION
' TODO translation',IMPLEMENTATION
' TBD rethink where exactly some of the following methods belong GenModel or GenPackage ',DESIGN
' really there are two situations where it should be ok to allow the insertion into properties defined on a superclass union subclass with an abstract root entity discrim subclass is handled already because of the fact that UnionSubclassPersister alreay always returns for this call we may want to disallow it for discrim subclass just for consistency sake currently does not work anyway ',DESIGN
' TODO the rest of this seeking to same position is unnecessary since we share a channel but some of this may be needed ',DESIGN
' a check just in case ',DESIGN
' If we outgrow our pushback stack then grow it this should only happen in pretty pathological cases ',DEFECT
' TODO This should probably only update the project when the user presses Return or focus is lost',DEFECT
' todo better to handle dynamic filters through implicit DynamicFilterParameterSpecification see the discussion there in DynamicFilterParameterSpecification is javadocs as to why it is currently not done that way ',DESIGN
' Windows work around',DESIGN
' The following debug line is now the single most memory consuming line in the whole of ArgoUML It allocates approximately of all memory allocated Suggestions for solutions Check if there is a LOG log Level FINE String String method that can be used instead Use two calls For now I Linus just comment it out LOG log Level FINE applying critic headline ',IMPLEMENTATION
' TODO fetch list of languages from a file N B Changes to language list need to be reflected in resources PackageTest java',DESIGN
' TODO Should the method signature of this method be changed to match the super implementation using a TestElement parameter instead of AbstractListenerElement This would require an instanceof check before adding the listener below but would also make the behavior a bit more obvious for sub classes the Java rules dealing with this situation are not always intuitive and a subclass may think it is calling this version of the method when it is really calling the superclass version instead ',DESIGN
' TODO implement',IMPLEMENTATION
' TODO need to make the majority of this functionality into a top level support class for custom impl support',DESIGN
' TODO These have been used for most instances of new FigFoo X Y but additional work is required to extract the constant from calculations etc ',IMPLEMENTATION
' TODO This code can be removed when getCurrentProject is removed',IMPLEMENTATION
' TODO This next line prevent loading a UseCase with a stereotype to grow Why ',IMPLEMENTATION
' this part sucks',DESIGN
' line comments at the end of annotations are not a part of the range of annotation TODO is not including line comments at the end of annotations a bug ',DEFECT
' Constraint This code only deals with supplier per dependency TODO How to support more see org argouml uml ui AbstractActionAddModelElement doIt java util List ',DESIGN
' TODO We should assert this never happens before removing panels should control their own listeners',IMPLEMENTATION
' TODO code duplication with SingleTableEntityPersister',DESIGN
' SSS FIXME For constant arrays we should never get here ',DEFECT
' TODO Let the AttachmentViewer get the focus so that this works',DESIGN
' TODO This filtering is kind of gross it would be nice to get some parser help here',DESIGN
' TODO When is the earliest version supported include the following line here scrollPane setWheelScrollingEnabled true The scroll wheel function is important for ease of use but the setWheelScrollingEnabled function is not available in java ',DEFECT
' before cascade TODO should this be Session instantiate Persister ',DESIGN
' TODO RENAME to DataSetViewerPropertyDestination',DESIGN
' TODO break into main member types model diagram and other',DESIGN
' self args SSS FIXME Verify that this is correct',DESIGN
' TODO probably better to calculate these and pass them in as it will be more performant',DESIGN
' Access to property tables This is used to support ant call and similar tasks It should be deprecated it is possible to use a better more efficient mechanism to preserve the context ',DESIGN
' TODO An Iterator filter would be nice here instead of the mucking around with the Collection ',DESIGN
' These do not appear to work rowHeaderTableCol setResizable true rowHeaderTableCol setResizable true cornerTableCol setResizable true cornerTableCol setResizable true ',DEFECT
' TODO correct URL ',DESIGN
